Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
Goat,5,41.0,loss of appetite,extended neck,fatigue,CCPP
Goat,4,41.1,matted eyes,sores on tongue,sores on gums,PPR
Poultry,1,45.0,difficulty walking,fatigue,chills,Newcastle Disease
Poultry,6,42.4,greenish diarrhea,depression,fatigue,Newcastle Disease
Cow,4,41.7,difficulty walking,swelling in neck,frothing at mouth,East Coast Fever
Sheep,2,41.2,foul diarrhea,fatigue,sores on tongue,PPR
Poultry,7,44.3,difficulty walking,chills,fatigue,Newcastle Disease
Cow,4,42.0,frothing at mouth,fatigue,loss of appetite,East Coast Fever
Goat,2,40.9,foul diarrhea,sores on tongue,matted eyes,PPR
Cow,5,40.9,sweats,jaundice,chills,Rift Valley Fever
Goat,3,41.1,fatigue,sores on gums,sores on mouth,PPR
Goat,5,41.7,painful cough,crackling sound,loss of appetite,CCPP
Goat,1,41.5,mass abortion,swelling in abdomen,blood in stool,Rift Valley Fever
Cow,8,41.6,frothing at mouth,swelling in limb,loss of appetite,East Coast Fever
Cow,8,42.2,lacrimation,difficulty walking,swelling in neck,East Coast Fever
Goat,2,41.2,chills,mass abortion,blood in stool,Rift Valley Fever
Goat,4,41.7,foul diarrhea,sores on gums,sores on mouth,PPR
Goat,6,42.0,crackling sound,loss of appetite,fatigue,CCPP
Cow,4,40.8,blood in stool,swelling in abdomen,fatigue,Rift Valley Fever
Poultry,7,42.7,twisted neck,difficulty walking,chills,Newcastle Disease
Poultry,8,42.9,sudden death,fatigue,twisted neck,Newcastle Disease
Cow,2,42.2,chills,sweats,jaundice,Rift Valley Fever
Cow,8,41.0,blood in stool,mass abortion,jaundice,Rift Valley Fever
Goat,5,40.8,sores on mouth,loss of appetite,foul diarrhea,PPR
Goat,1,40.9,fatigue,foul diarrhea,loss of appetite,PPR
Goat,7,41.2,crackling sound,extended neck,fatigue,CCPP
Sheep,4,41.1,fatigue,sores on gums,sores on mouth,PPR
Cow,5,42.2,fatigue,loss of appetite,lacrimation,East Coast Fever
Goat,1,41.8,chest discomfort,painful cough,shortness of breath,CCPP
Poultry,4,42.5,fatigue,difficulty walking,sudden death,Newcastle Disease
Goat,3,41.9,extended neck,crackling sound,chest discomfort,CCPP
Goat,8,41.0,extended neck,shortness of breath,chest discomfort,CCPP
Sheep,7,41.0,foul diarrhea,sores on tongue,sores on gums,PPR
Poultry,4,43.9,depression,difficulty walking,greenish diarrhea,Newcastle Disease
Poultry,2,44.7,depression,chills,sudden death,Newcastle Disease
Poultry,6,44.7,sudden death,greenish diarrhea,difficulty walking,Newcastle Disease
Cow,4,42.7,fatigue,loss of appetite,lacrimation,East Coast Fever
Poultry,2,42.8,difficulty walking,sudden death,greenish diarrhea,Newcastle Disease
Cow,8,41.4,swelling in limb,frothing at mouth,difficulty walking,East Coast Fever
Goat,2,40.8,matted eyes,foul diarrhea,sores on mouth,PPR
Sheep,1,41.4,jaundice,sweats,mass abortion,Rift Valley Fever
Goat,3,41.7,chest discomfort,fatigue,extended neck,CCPP
Goat,4,40.8,painful cough,loss of appetite,extended neck,CCPP
Cow,3,42.1,swelling in limb,swelling in neck,difficulty walking,East Coast Fever
Sheep,7,40.6,fatigue,jaundice,chills,Rift Valley Fever
Cow,8,41.4,fatigue,swelling in abdomen,sweats,Rift Valley Fever
Goat,4,42.2,extended neck,chest discomfort,fatigue,CCPP
Goat,8,41.1,fatigue,sores on tongue,sores on gums,PPR
Goat,2,41.2,blood in stool,mass abortion,swelling in abdomen,Rift Valley Fever
Cow,8,42.0,fatigue,loss of appetite,difficulty walking,East Coast Fever
Goat,6,41.4,chest discomfort,shortness of breath,crackling sound,CCPP
Goat,7,41.3,painful cough,crackling sound,fatigue,CCPP
Goat,6,40.7,matted eyes,fatigue,sores on gums,PPR
Goat,7,42.2,loss of appetite,crackling sound,chest discomfort,CCPP
Cow,2,41.1,chills,mass abortion,fatigue,Rift Valley Fever
Cow,2,41.1,frothing at mouth,fatigue,loss of appetite,East Coast Fever
Sheep,2,41.2,sores on tongue,foul diarrhea,fatigue,PPR
Cow,7,42.5,swelling in neck,fatigue,loss of appetite,East Coast Fever
Goat,6,40.8,loss of appetite,fatigue,chest discomfort,CCPP
Cow,6,42.1,fatigue,loss of appetite,swelling in neck,East Coast Fever
Goat,3,41.0,sores on gums,foul diarrhea,fatigue,PPR
Goat,1,41.7,swelling in abdomen,fatigue,blood in stool,Rift Valley Fever
Cow,6,42.1,loss of appetite,difficulty walking,frothing at mouth,East Coast Fever
Cow,2,42.1,swelling in neck,fatigue,difficulty walking,East Coast Fever
Goat,2,41.2,loss of appetite,extended neck,fatigue,CCPP
Cow,7,42.0,sweats,jaundice,fatigue,Rift Valley Fever
Sheep,8,41.6,fatigue,sores on tongue,loss of appetite,PPR
Sheep,8,40.8,foul diarrhea,matted eyes,loss of appetite,PPR
Goat,4,41.0,jaundice,swelling in abdomen,blood in stool,Rift Valley Fever
Goat,7,41.0,fatigue,painful cough,extended neck,CCPP
Cow,4,41.7,blood in stool,sweats,mass abortion,Rift Valley Fever
Goat,8,42.3,fatigue,jaundice,chills,Rift Valley Fever
Goat,7,41.3,chest discomfort,fatigue,crackling sound,CCPP
Cow,2,41.1,fatigue,jaundice,chills,Rift Valley Fever
Goat,1,41.2,jaundice,sweats,swelling in abdomen,Rift Valley Fever
Poultry,5,42.9,sudden death,twisted neck,chills,Newcastle Disease
Goat,8,41.4,extended neck,painful cough,crackling sound,CCPP
Sheep,5,41.3,sores on gums,matted eyes,foul diarrhea,PPR
Cow,8,41.5,blood in stool,sweats,swelling in abdomen,Rift Valley Fever
Goat,5,41.2,shortness of breath,painful cough,chest discomfort,CCPP
Cow,1,41.0,fatigue,frothing at mouth,difficulty walking,East Coast Fever
Poultry,1,44.1,fatigue,twisted neck,greenish diarrhea,Newcastle Disease
Goat,8,41.4,fatigue,sweats,swelling in abdomen,Rift Valley Fever
Goat,6,42.5,loss of appetite,painful cough,extended neck,CCPP
Cow,4,41.4,lacrimation,loss of appetite,difficulty walking,East Coast Fever
Poultry,3,44.0,chills,difficulty walking,twisted neck,Newcastle Disease
Goat,7,40.8,fatigue,loss of appetite,foul diarrhea,PPR
Cow,5,42.0,chills,sweats,blood in stool,Rift Valley Fever
Goat,5,40.8,crackling sound,chest discomfort,fatigue,CCPP
Sheep,6,41.8,sores on tongue,foul diarrhea,fatigue,PPR
Sheep,6,41.1,sores on gums,loss of appetite,sores on tongue,PPR
Poultry,1,43.0,greenish diarrhea,fatigue,depression,Newcastle Disease
Goat,7,41.5,painful cough,shortness of breath,crackling sound,CCPP
Goat,7,41.1,shortness of breath,painful cough,loss of appetite,CCPP
Poultry,8,43.2,fatigue,twisted neck,sudden death,Newcastle Disease
Goat,3,41.9,chills,fatigue,mass abortion,Rift Valley Fever
Poultry,8,44.8,chills,sudden death,greenish diarrhea,Newcastle Disease
Goat,5,41.8,loss of appetite,fatigue,sores on tongue,PPR
Goat,5,41.3,crackling sound,painful cough,chest discomfort,CCPP
Goat,1,41.1,sores on mouth,matted eyes,fatigue,PPR
Poultry,8,45.1,twisted neck,difficulty walking,chills,Newcastle Disease
Goat,5,41.3,painful cough,loss of appetite,crackling sound,CCPP
Goat,8,40.6,fatigue,crackling sound,loss of appetite,CCPP
Goat,2,41.7,mass abortion,chills,fatigue,Rift Valley Fever
Goat,8,41.6,matted eyes,sores on mouth,sores on tongue,PPR
Goat,7,42.3,mass abortion,chills,fatigue,Rift Valley Fever
Cow,8,41.5,lacrimation,fatigue,difficulty walking,East Coast Fever
Goat,7,41.9,extended neck,chest discomfort,loss of appetite,CCPP
Goat,2,42.1,extended neck,shortness of breath,fatigue,CCPP
Goat,8,40.8,matted eyes,foul diarrhea,sores on mouth,PPR
Goat,2,41.4,crackling sound,chest discomfort,extended neck,CCPP
Poultry,5,43.9,greenish diarrhea,depression,fatigue,Newcastle Disease
Cow,1,42.0,lacrimation,swelling in neck,fatigue,East Coast Fever
Cow,7,42.2,lacrimation,fatigue,loss of appetite,East Coast Fever
Goat,3,41.8,painful cough,chest discomfort,shortness of breath,CCPP
Goat,2,41.4,sores on tongue,loss of appetite,sores on gums,PPR
Poultry,4,44.5,depression,difficulty walking,sudden death,Newcastle Disease
Poultry,1,43.2,chills,fatigue,difficulty walking,Newcastle Disease
Sheep,5,41.0,sores on gums,fatigue,loss of appetite,PPR
Goat,1,42.0,shortness of breath,extended neck,crackling sound,CCPP
Poultry,3,44.5,twisted neck,difficulty walking,sudden death,Newcastle Disease
Poultry,6,42.6,fatigue,chills,depression,Newcastle Disease
Goat,3,41.0,fatigue,loss of appetite,sores on tongue,PPR
Cow,4,42.8,frothing at mouth,lacrimation,swelling in limb,East Coast Fever
Cow,3,41.5,loss of appetite,swelling in limb,difficulty walking,East Coast Fever
Goat,2,41.3,fatigue,sores on gums,foul diarrhea,PPR
Goat,2,42.3,painful cough,crackling sound,fatigue,CCPP
Poultry,6,43.7,fatigue,greenish diarrhea,twisted neck,Newcastle Disease
Goat,3,40.8,loss of appetite,extended neck,shortness of breath,CCPP
Goat,7,42.0,extended neck,crackling sound,painful cough,CCPP
Goat,5,40.8,crackling sound,loss of appetite,extended neck,CCPP
Cow,5,42.3,fatigue,swelling in neck,loss of appetite,East Coast Fever
Goat,4,40.6,sores on tongue,fatigue,foul diarrhea,PPR
Goat,8,40.8,fatigue,foul diarrhea,loss of appetite,PPR
Goat,8,41.7,chills,blood in stool,swelling in abdomen,Rift Valley Fever
Goat,3,41.9,chills,fatigue,jaundice,Rift Valley Fever
Goat,4,41.2,shortness of breath,loss of appetite,chest discomfort,CCPP
Goat,2,41.5,shortness of breath,extended neck,loss of appetite,CCPP
Cow,2,42.6,frothing at mouth,swelling in neck,difficulty walking,East Coast Fever
Goat,4,40.9,blood in stool,swelling in abdomen,mass abortion,Rift Valley Fever
Sheep,5,40.3,sores on mouth,sores on tongue,loss of appetite,PPR
Sheep,6,42.4,mass abortion,blood in stool,chills,Rift Valley Fever
Goat,5,41.6,blood in stool,sweats,mass abortion,Rift Valley Fever
Poultry,4,43.1,fatigue,chills,difficulty walking,Newcastle Disease
Goat,4,41.6,chest discomfort,painful cough,fatigue,CCPP
Cow,7,41.8,frothing at mouth,fatigue,difficulty walking,East Coast Fever
Cow,2,41.7,swelling in limb,swelling in neck,loss of appetite,East Coast Fever
Poultry,6,44.3,greenish diarrhea,depression,fatigue,Newcastle Disease
Goat,7,42.0,foul diarrhea,matted eyes,sores on mouth,PPR
Goat,6,41.8,fatigue,extended neck,painful cough,CCPP
Poultry,3,42.6,fatigue,greenish diarrhea,sudden death,Newcastle Disease
Goat,6,41.1,shortness of breath,extended neck,painful cough,CCPP
Cow,3,42.2,chills,swelling in abdomen,blood in stool,Rift Valley Fever
Cow,1,41.9,loss of appetite,lacrimation,difficulty walking,East Coast Fever
Goat,3,42.2,chills,jaundice,swelling in abdomen,Rift Valley Fever
Poultry,6,42.7,difficulty walking,chills,depression,Newcastle Disease
Goat,2,41.4,sores on tongue,matted eyes,sores on mouth,PPR
Cow,6,42.1,loss of appetite,swelling in limb,frothing at mouth,East Coast Fever
Sheep,7,40.7,matted eyes,loss of appetite,sores on tongue,PPR
Goat,7,41.3,loss of appetite,sores on gums,sores on tongue,PPR
Sheep,4,41.9,sores on tongue,fatigue,loss of appetite,PPR
Cow,8,41.7,chills,swelling in abdomen,blood in stool,Rift Valley Fever
Cow,1,42.7,lacrimation,fatigue,swelling in limb,East Coast Fever
Sheep,3,42.0,fatigue,blood in stool,sweats,Rift Valley Fever
Goat,8,41.9,loss of appetite,shortness of breath,crackling sound,CCPP
Goat,1,41.0,blood in stool,jaundice,swelling in abdomen,Rift Valley Fever
Poultry,4,43.7,depression,twisted neck,sudden death,Newcastle Disease
Goat,7,42.2,jaundice,sweats,mass abortion,Rift Valley Fever
Goat,2,41.6,sores on mouth,fatigue,loss of appetite,PPR
Goat,8,41.8,extended neck,painful cough,loss of appetite,CCPP
Cow,7,43.0,lacrimation,swelling in neck,loss of appetite,East Coast Fever
Goat,7,42.5,fatigue,shortness of breath,extended neck,CCPP
Poultry,1,43.0,twisted neck,difficulty walking,fatigue,Newcastle Disease
Sheep,8,42.1,fatigue,chills,mass abortion,Rift Valley Fever
Goat,8,41.6,blood in stool,fatigue,mass abortion,Rift Valley Fever
Poultry,7,42.9,twisted neck,chills,depression,Newcastle Disease
Poultry,8,43.5,fatigue,difficulty walking,greenish diarrhea,Newcastle Disease
Cow,2,41.4,jaundice,fatigue,swelling in abdomen,Rift Valley Fever
Goat,2,41.8,shortness of breath,loss of appetite,painful cough,CCPP
Goat,4,41.6,sores on mouth,fatigue,sores on gums,PPR
Cow,5,41.4,sweats,jaundice,fatigue,Rift Valley Fever
Goat,1,41.6,crackling sound,painful cough,chest discomfort,CCPP
Goat,4,41.5,sores on tongue,foul diarrhea,sores on gums,PPR
Poultry,8,44.6,chills,twisted neck,sudden death,Newcastle Disease
Poultry,7,44.6,depression,difficulty walking,greenish diarrhea,Newcastle Disease
Poultry,3,44.5,greenish diarrhea,difficulty walking,chills,Newcastle Disease
Sheep,1,42.0,fatigue,sores on mouth,foul diarrhea,PPR
Poultry,8,42.9,sudden death,chills,fatigue,Newcastle Disease
Sheep,7,41.3,jaundice,fatigue,chills,Rift Valley Fever
Goat,8,41.8,fatigue,shortness of breath,crackling sound,CCPP
Sheep,4,41.4,fatigue,sores on tongue,sores on gums,PPR
Goat,4,41.3,painful cough,extended neck,loss of appetite,CCPP
Sheep,4,41.9,mass abortion,blood in stool,jaundice,Rift Valley Fever
Goat,1,41.4,sores on gums,loss of appetite,sores on tongue,PPR
Cow,3,42.3,fatigue,swelling in neck,lacrimation,East Coast Fever
Goat,1,41.0,chest discomfort,shortness of breath,loss of appetite,CCPP
Cow,6,41.8,frothing at mouth,lacrimation,swelling in neck,East Coast Fever
Sheep,2,41.1,swelling in abdomen,blood in stool,sweats,Rift Valley Fever
Poultry,6,44.3,depression,twisted neck,difficulty walking,Newcastle Disease
Poultry,7,43.0,fatigue,sudden death,difficulty walking,Newcastle Disease
Cow,7,42.3,fatigue,difficulty walking,swelling in neck,East Coast Fever
Sheep,4,40.3,sores on tongue,loss of appetite,matted eyes,PPR
Poultry,1,45.0,depression,twisted neck,difficulty walking,Newcastle Disease
Poultry,6,43.7,chills,sudden death,depression,Newcastle Disease
Cow,6,42.6,loss of appetite,difficulty walking,frothing at mouth,East Coast Fever
Goat,4,40.7,sores on gums,loss of appetite,matted eyes,PPR
Sheep,5,41.8,jaundice,fatigue,sweats,Rift Valley Fever
Goat,2,41.9,sores on tongue,matted eyes,loss of appetite,PPR
Poultry,7,43.6,twisted neck,greenish diarrhea,depression,Newcastle Disease
Cow,5,41.9,fatigue,difficulty walking,swelling in limb,East Coast Fever
Sheep,7,41.4,jaundice,blood in stool,mass abortion,Rift Valley Fever
Goat,7,41.1,mass abortion,swelling in abdomen,blood in stool,Rift Valley Fever
Poultry,3,43.3,greenish diarrhea,chills,difficulty walking,Newcastle Disease
Poultry,1,43.8,depression,twisted neck,sudden death,Newcastle Disease
Sheep,4,41.5,fatigue,matted eyes,foul diarrhea,PPR
Goat,1,42.4,extended neck,crackling sound,shortness of breath,CCPP
Cow,3,42.5,difficulty walking,swelling in neck,frothing at mouth,East Coast Fever
Goat,5,42.3,loss of appetite,crackling sound,fatigue,CCPP
Poultry,3,44.7,depression,sudden death,greenish diarrhea,Newcastle Disease
Poultry,2,43.0,sudden death,chills,twisted neck,Newcastle Disease
Poultry,8,42.8,twisted neck,greenish diarrhea,chills,Newcastle Disease
Goat,5,41.4,swelling in abdomen,fatigue,sweats,Rift Valley Fever
Goat,6,42.6,extended neck,painful cough,shortness of breath,CCPP
Cow,4,41.7,fatigue,frothing at mouth,swelling in limb,East Coast Fever
Goat,5,40.3,sores on tongue,fatigue,matted eyes,PPR
Cow,5,42.1,frothing at mouth,swelling in limb,swelling in neck,East Coast Fever
Poultry,4,44.4,twisted neck,chills,difficulty walking,Newcastle Disease
Cow,6,42.4,swelling in limb,lacrimation,frothing at mouth,East Coast Fever
Goat,4,40.1,sores on gums,loss of appetite,matted eyes,PPR
Sheep,5,41.2,foul diarrhea,sores on mouth,loss of appetite,PPR
Goat,2,40.6,sores on gums,loss of appetite,matted eyes,PPR
Cow,5,41.2,frothing at mouth,difficulty walking,lacrimation,East Coast Fever
Poultry,7,43.9,twisted neck,sudden death,chills,Newcastle Disease
Sheep,8,41.3,foul diarrhea,loss of appetite,fatigue,PPR
Sheep,4,41.2,matted eyes,loss of appetite,sores on tongue,PPR
Cow,2,42.2,jaundice,sweats,swelling in abdomen,Rift Valley Fever
Poultry,7,43.0,chills,difficulty walking,greenish diarrhea,Newcastle Disease
Poultry,7,43.2,depression,sudden death,fatigue,Newcastle Disease
Sheep,4,40.9,mass abortion,chills,fatigue,Rift Valley Fever
Goat,8,41.0,sores on mouth,fatigue,foul diarrhea,PPR
Goat,8,40.8,swelling in abdomen,fatigue,sweats,Rift Valley Fever
Poultry,8,42.7,sudden death,depression,difficulty walking,Newcastle Disease
Sheep,8,41.1,loss of appetite,sores on tongue,fatigue,PPR
Cow,1,42.9,difficulty walking,lacrimation,frothing at mouth,East Coast Fever
Goat,5,41.6,extended neck,painful cough,loss of appetite,CCPP
Goat,5,41.3,swelling in abdomen,fatigue,blood in stool,Rift Valley Fever
Cow,1,42.5,loss of appetite,lacrimation,swelling in neck,East Coast Fever
Sheep,7,41.2,blood in stool,mass abortion,sweats,Rift Valley Fever
Goat,1,41.8,fatigue,chills,swelling in abdomen,Rift Valley Fever
Goat,5,41.7,chest discomfort,extended neck,painful cough,CCPP
Goat,3,41.6,loss of appetite,crackling sound,extended neck,CCPP
Cow,7,42.8,swelling in limb,difficulty walking,fatigue,East Coast Fever
Sheep,1,41.9,swelling in abdomen,jaundice,chills,Rift Valley Fever
Cow,2,42.2,blood in stool,chills,sweats,Rift Valley Fever
Poultry,5,42.8,twisted neck,greenish diarrhea,difficulty walking,Newcastle Disease
Poultry,1,45.1,greenish diarrhea,twisted neck,sudden death,Newcastle Disease
Cow,4,42.0,swelling in limb,swelling in neck,lacrimation,East Coast Fever
Goat,7,41.9,fatigue,chest discomfort,crackling sound,CCPP
Sheep,5,41.5,sweats,fatigue,mass abortion,Rift Valley Fever
Poultry,6,42.8,difficulty walking,twisted neck,depression,Newcastle Disease
Cow,6,41.8,fatigue,lacrimation,loss of appetite,East Coast Fever
Poultry,8,42.6,chills,greenish diarrhea,difficulty walking,Newcastle Disease
Goat,4,41.7,jaundice,blood in stool,fatigue,Rift Valley Fever
Goat,5,40.9,mass abortion,chills,swelling in abdomen,Rift Valley Fever
Poultry,6,44.5,fatigue,difficulty walking,twisted neck,Newcastle Disease
Goat,3,41.6,crackling sound,fatigue,chest discomfort,CCPP
Sheep,6,41.3,chills,blood in stool,mass abortion,Rift Valley Fever
Sheep,2,41.2,blood in stool,sweats,mass abortion,Rift Valley Fever
Sheep,3,41.5,sores on tongue,sores on mouth,foul diarrhea,PPR
Sheep,4,41.1,swelling in abdomen,chills,blood in stool,Rift Valley Fever
Poultry,2,42.6,chills,greenish diarrhea,fatigue,Newcastle Disease
Poultry,6,42.9,depression,twisted neck,fatigue,Newcastle Disease
Cow,5,42.2,frothing at mouth,fatigue,lacrimation,East Coast Fever
Sheep,4,40.5,sores on gums,sores on tongue,sores on mouth,PPR
Poultry,8,44.2,depression,difficulty walking,sudden death,Newcastle Disease
Poultry,4,44.7,twisted neck,chills,greenish diarrhea,Newcastle Disease
Sheep,5,41.1,loss of appetite,fatigue,sores on mouth,PPR
Sheep,8,41.4,chills,jaundice,mass abortion,Rift Valley Fever
Poultry,5,43.2,difficulty walking,sudden death,twisted neck,Newcastle Disease
Cow,1,41.8,swelling in neck,frothing at mouth,swelling in limb,East Coast Fever
Cow,5,41.2,sweats,mass abortion,swelling in abdomen,Rift Valley Fever
Goat,4,41.4,fatigue,crackling sound,loss of appetite,CCPP
Poultry,3,44.3,twisted neck,sudden death,fatigue,Newcastle Disease
Sheep,1,41.6,loss of appetite,matted eyes,fatigue,PPR
Goat,3,40.8,blood in stool,sweats,swelling in abdomen,Rift Valley Fever
Goat,8,40.8,sores on gums,sores on tongue,sores on mouth,PPR
Cow,7,41.3,frothing at mouth,lacrimation,loss of appetite,East Coast Fever
Sheep,4,41.2,sores on tongue,sores on mouth,foul diarrhea,PPR
Sheep,1,41.3,fatigue,sores on gums,foul diarrhea,PPR
Sheep,2,42.4,swelling in abdomen,fatigue,jaundice,Rift Valley Fever
Sheep,4,41.8,jaundice,fatigue,swelling in abdomen,Rift Valley Fever
Goat,2,41.3,sores on tongue,loss of appetite,foul diarrhea,PPR
Cow,2,42.5,difficulty walking,frothing at mouth,swelling in limb,East Coast Fever
Sheep,6,41.0,mass abortion,fatigue,chills,Rift Valley Fever
Goat,3,41.5,chest discomfort,painful cough,fatigue,CCPP
Sheep,5,41.1,loss of appetite,fatigue,sores on mouth,PPR
Goat,1,40.7,foul diarrhea,sores on gums,sores on mouth,PPR
Cow,3,42.4,difficulty walking,fatigue,loss of appetite,East Coast Fever
Cow,4,42.5,frothing at mouth,loss of appetite,swelling in neck,East Coast Fever
Poultry,6,43.2,greenish diarrhea,sudden death,fatigue,Newcastle Disease
Sheep,8,40.6,foul diarrhea,loss of appetite,sores on mouth,PPR
Sheep,7,42.4,mass abortion,chills,swelling in abdomen,Rift Valley Fever
Goat,6,40.9,extended neck,painful cough,loss of appetite,CCPP
Goat,4,41.1,chest discomfort,fatigue,loss of appetite,CCPP
Goat,2,41.4,sores on mouth,sores on tongue,sores on gums,PPR
Cow,5,41.2,swelling in abdomen,sweats,blood in stool,Rift Valley Fever
Sheep,6,41.4,sweats,mass abortion,fatigue,Rift Valley Fever
Cow,8,41.4,swelling in limb,lacrimation,loss of appetite,East Coast Fever
Goat,4,42.5,crackling sound,fatigue,shortness of breath,CCPP
Goat,3,42.4,loss of appetite,extended neck,shortness of breath,CCPP
Poultry,8,43.4,twisted neck,depression,chills,Newcastle Disease
Cow,2,42.1,lacrimation,swelling in neck,swelling in limb,East Coast Fever
Poultry,8,42.3,greenish diarrhea,sudden death,twisted neck,Newcastle Disease
Cow,8,41.4,frothing at mouth,lacrimation,fatigue,East Coast Fever
Cow,8,42.3,blood in stool,jaundice,mass abortion,Rift Valley Fever
Sheep,3,41.0,sores on mouth,foul diarrhea,loss of appetite,PPR
Goat,1,40.6,matted eyes,sores on tongue,fatigue,PPR
Poultry,8,44.1,depression,difficulty walking,greenish diarrhea,Newcastle Disease
Poultry,7,43.4,chills,greenish diarrhea,difficulty walking,Newcastle Disease
Goat,3,42.3,chills,mass abortion,sweats,Rift Valley Fever
Cow,5,41.6,jaundice,mass abortion,fatigue,Rift Valley Fever
Goat,4,41.2,chest discomfort,extended neck,loss of appetite,CCPP
Cow,5,41.8,blood in stool,chills,mass abortion,Rift Valley Fever
Cow,5,42.2,swelling in neck,swelling in limb,loss of appetite,East Coast Fever
Sheep,7,41.6,swelling in abdomen,blood in stool,jaundice,Rift Valley Fever
Goat,1,41.1,shortness of breath,crackling sound,painful cough,CCPP
Cow,8,41.0,sweats,jaundice,mass abortion,Rift Valley Fever
Poultry,7,44.1,depression,twisted neck,fatigue,Newcastle Disease
Cow,7,43.1,difficulty walking,loss of appetite,fatigue,East Coast Fever
Sheep,2,41.2,sores on gums,fatigue,sores on mouth,PPR
Poultry,8,43.9,greenish diarrhea,difficulty walking,chills,Newcastle Disease
Sheep,1,41.2,sores on tongue,sores on mouth,foul diarrhea,PPR
Sheep,5,40.8,sores on gums,loss of appetite,sores on tongue,PPR
Goat,6,40.9,loss of appetite,sores on gums,sores on tongue,PPR
Goat,6,41.7,extended neck,shortness of breath,chest discomfort,CCPP
Cow,8,42.2,fatigue,blood in stool,chills,Rift Valley Fever
Poultry,7,43.3,depression,chills,sudden death,Newcastle Disease
Cow,7,41.7,jaundice,fatigue,blood in stool,Rift Valley Fever
Sheep,6,41.1,matted eyes,sores on gums,loss of appetite,PPR
Goat,8,41.5,swelling in abdomen,jaundice,fatigue,Rift Valley Fever
Poultry,5,45.0,depression,sudden death,twisted neck,Newcastle Disease
Cow,6,41.7,mass abortion,chills,swelling in abdomen,Rift Valley Fever
Sheep,7,42.1,fatigue,sores on gums,sores on mouth,PPR
Cow,3,42.5,fatigue,lacrimation,swelling in neck,East Coast Fever
Goat,7,41.9,crackling sound,extended neck,loss of appetite,CCPP
Cow,8,42.3,difficulty walking,fatigue,swelling in neck,East Coast Fever
Goat,4,42.2,fatigue,swelling in abdomen,jaundice,Rift Valley Fever
Poultry,6,44.8,greenish diarrhea,sudden death,chills,Newcastle Disease
Goat,1,41.5,chest discomfort,fatigue,crackling sound,CCPP
Poultry,4,44.5,chills,difficulty walking,sudden death,Newcastle Disease
Poultry,4,44.7,fatigue,sudden death,depression,Newcastle Disease
Cow,2,41.7,frothing at mouth,difficulty walking,swelling in limb,East Coast Fever
Cow,8,42.0,loss of appetite,fatigue,lacrimation,East Coast Fever
Cow,5,41.7,lacrimation,frothing at mouth,difficulty walking,East Coast Fever
Poultry,8,43.6,greenish diarrhea,twisted neck,depression,Newcastle Disease
Goat,7,41.3,extended neck,loss of appetite,chest discomfort,CCPP
Cow,7,41.7,frothing at mouth,difficulty walking,lacrimation,East Coast Fever
Goat,5,40.7,matted eyes,sores on gums,loss of appetite,PPR
Poultry,8,44.3,depression,greenish diarrhea,chills,Newcastle Disease
Goat,1,40.1,sores on gums,matted eyes,foul diarrhea,PPR
Goat,7,40.9,extended neck,crackling sound,chest discomfort,CCPP
Poultry,3,44.4,chills,difficulty walking,twisted neck,Newcastle Disease
Poultry,1,42.5,chills,difficulty walking,sudden death,Newcastle Disease
Cow,2,41.9,lacrimation,swelling in limb,frothing at mouth,East Coast Fever
Goat,1,41.6,sores on gums,sores on tongue,matted eyes,PPR
Sheep,4,40.5,sores on tongue,foul diarrhea,matted eyes,PPR
Sheep,4,42.4,sweats,blood in stool,jaundice,Rift Valley Fever
Cow,5,42.2,loss of appetite,swelling in limb,lacrimation,East Coast Fever
Goat,1,42.1,fatigue,swelling in abdomen,blood in stool,Rift Valley Fever
Poultry,5,43.0,depression,sudden death,difficulty walking,Newcastle Disease
Goat,7,41.6,matted eyes,fatigue,sores on gums,PPR
Cow,7,42.0,frothing at mouth,loss of appetite,fatigue,East Coast Fever
Sheep,5,42.4,jaundice,mass abortion,blood in stool,Rift Valley Fever
Poultry,2,42.2,greenish diarrhea,twisted neck,difficulty walking,Newcastle Disease
Poultry,4,43.2,depression,fatigue,difficulty walking,Newcastle Disease
Cow,7,41.9,difficulty walking,frothing at mouth,swelling in limb,East Coast Fever
Goat,2,41.1,extended neck,painful cough,crackling sound,CCPP
Sheep,1,41.6,foul diarrhea,sores on gums,loss of appetite,PPR
Goat,2,40.9,chills,mass abortion,swelling in abdomen,Rift Valley Fever
Goat,6,41.2,shortness of breath,extended neck,painful cough,CCPP
Goat,6,40.4,sores on gums,sores on mouth,matted eyes,PPR
Goat,6,41.4,jaundice,mass abortion,sweats,Rift Valley Fever
Cow,3,42.4,frothing at mouth,lacrimation,loss of appetite,East Coast Fever
Cow,2,42.1,swelling in neck,frothing at mouth,loss of appetite,East Coast Fever
Sheep,4,42.3,mass abortion,fatigue,blood in stool,Rift Valley Fever
Cow,1,41.8,fatigue,mass abortion,blood in stool,Rift Valley Fever
Cow,4,42.1,difficulty walking,swelling in neck,fatigue,East Coast Fever
Goat,3,40.7,sores on mouth,fatigue,foul diarrhea,PPR
Goat,6,41.5,fatigue,chest discomfort,painful cough,CCPP
Goat,6,42.0,extended neck,crackling sound,painful cough,CCPP
Cow,6,42.5,swelling in neck,difficulty walking,swelling in limb,East Coast Fever
